Utterance,ExpectedResult,BusinessArea,LuisQnA
Is 14 November an optional holiday,<HolidayType> holiday for <Holiday> on <date in day of week; dd-mmm-yyyy format> in <Location>,Holiday,Luis
How many holidays are there this month,There are <number> <HolidayType> holidays this <time period> in <Location>.,Holiday,Luis
Which month has maximum number of holidays,<time period> has maximum number (<number>) of <HolidayType> holidays in <Location>.,Holiday,Luis
Which week has maximum number of holidays,<time period> has maximum number (<number>) of <HolidayType> holidays in <Location>.,Holiday,Luis
How many holidays are there in the coming month,There are <number> <HolidayType> holidays this <time period> in <Location>.,Holiday,Luis
How many public holidays do Accenture have,There are <number> <HolidayType> holidays this <time period> in <Location>.,Holiday,Luis
How many working days are there in September,There are <number> working days this <time period> in <Location>.,Holiday,Luis
Do we really have holiday tomorrow?,<HolidayType> holiday for <Holiday> on <date in day of week; dd-mmm-yyyy format> in <Location>,Holiday,Luis
I want to know whether tomorrow is a holiday or not?,<HolidayType> holiday for <Holiday> on <date in day of week; dd-mmm-yyyy format> in <Location>,Holiday,Luis
Do Accenture have holiday tomorrow?,<HolidayType> holiday for <Holiday> on <date in day of week; dd-mmm-yyyy format> in <Location>,Holiday,Luis
Do we have to come to office tomorrow?,<HolidayType> holiday for <Holiday> on <date in day of week; dd-mmm-yyyy format> in <Location>,Holiday,Luis
May I know if we have holiday tomorrow?,<HolidayType> holiday for <Holiday> on <date in day of week; dd-mmm-yyyy format> in <Location>,Holiday,Luis
Is it true that we have holiday tomorrow?,<HolidayType> holiday for <Holiday> on <date in day of week; dd-mmm-yyyy format> in <Location>,Holiday,Luis
Tomorrow holiday,<HolidayType> holiday for <Holiday> on <date in day of week; dd-mmm-yyyy format> in <Location>,Holiday,Luis
When is the next mandatory holiday?,<HolidayType> holiday for <Holiday> on <date in day of week; dd-mmm-yyyy format> in <Location>,Holiday,Luis
When is the next optional holiday?,<HolidayType> holiday for <Holiday> on <date in day of week; dd-mmm-yyyy format> in <Location>,Holiday,Luis
Do we have any long weekend during the month of December?,Next long weekend is:[<HolidayType> holiday for <Holiday> on <date in day of week; dd-mmm-yyyy format> in <Location>],Holiday,Luis
How many long weekends are there this year?,Next long weekend is:[<HolidayType> holiday for <Holiday> on <date in day of week; dd-mmm-yyyy format> in <Location>],Holiday,Luis
How many long weekends are there in this month?,Next long weekend is:[<HolidayType> holiday for <Holiday> on <date in day of week; dd-mmm-yyyy format> in <Location>],Holiday,Luis
Policy on Company Holidays in Accenture,Employees are entitled to 10 public holidays in a calendar year that comprise of 8 fixed holidays and 2 floating holidays. Here are some key points that you should be aware of - 1. Public holidays cannot be accumulated and carried forward to the next calendar year. 2. Public holidays are not encashable upon separation. 3. The 10 public holidays availed by the employee should be charged to Public Holiday/ Optional Holiday in MyTE. You can also refer to Policy 0033 - Holidays for more details.,Holiday,Luis
What is Applauding Empaneled Interviewers Program ,Applauding Empaneled Interviewers Program (AEIP) is a reward and recognition program for all Empaneled Interviewers from Delivery Centers for Technology in India who provide bandwidth for interviewing candidates for available opportunities. This program will reward all the empaneled interviewers with Vouchers/ Recognizing performance points for meeting minimum eligibility criteria for interviews conducted each quarter. The AEIP rewards are calculated on quarterly basis; and one quarter's interview bandwidth contribution does not get carried forward. Interviews like skills interview; final interview; executive interview; HireVue interview fall under the purview of the program.Top 5 Hirevue interviewers for the quarter INR 5000/ per EI >= 70 interviews conducted INR 12000/- >=35 interviews conducted INR 8000/- >=25 interviews conducted INR 5000/-Weekend walk-in (> 5 interviews) INR 1000/-Campus VSP INR 1250/dayNote- Each instance of Interviewer Renege / Feedback Pending will lead to deduction equivalent to 1 count of Interview conducted,Recruitment,QnA
Where can I view my contribution for the year? The tool is not showing correct count.,The Monthly AEIP contribution is uploaded on AEIP page on IDC Home portal. Kindly visit the same to view your interview count for the month.,Recruitment,QnA
What is the time period for AEIP RnR disbursement?,E-Gift Vouchers for any quarter will be disbursed in the next quarter. Eg. Gift Vouchers for Q1 ( Sep- Nov) will be disbursed in Q2 (Dec-Feb)and so on.The rewards are given in form of online e-vouchers from the current approved supplier. These are uploaded on Allsectech Utilities-Gift Vouchers and as per law; will be subject to taxation. The AEIP rewards are calculated on quarterly basis; hence one quarter's interview bandwidth contribution does not get carried forward.,Recruitment,QnA
