Utterance,BusinessArea,LuisQnA
Current email address for Mahesh Zurale.,Leadership,LuisQnA
Email address for Srinath Subrahmanyan.,Leadership,LuisQnA
Can I get email address for Ananth Vedagarbham,Leadership,LuisQnA
Please provide some more knowldege about Prashant Dhume,Leadership,LuisQnA
Can I get contact details for Prashant Dhume.,Leadership,LuisQnA
Contact Information for Prashant Dhume. How to view it.,Leadership,LuisQnA
Raghavan Iyer. His contact information.,Leadership,LuisQnA
Email id for Sunil Rao.,Leadership,LuisQnA
How to communicate with Rajendra Prasad. What is the work number.,Leadership,LuisQnA
Mohan sekar's email id?,Leadership,LuisQnA
What are the communication details of Ayush Mittal.,Leadership,LuisQnA
Email for Rohit Thakur,Leadership,LuisQnA
Contact Information for Rohit Thakur,Leadership,LuisQnA
How shall I get in touch with Rohit Thakur.,Leadership,LuisQnA
email address for Dhanya Rajeswaran.,Leadership,LuisQnA
Contact Info for Tanaya Mishra.,Leadership,LuisQnA
Office no of Chad Jerdee. How do I contact him.,Leadership,LuisQnA
Can I get Ayush Mittal's email id?,Leadership,LuisQnA
Can I get Rahul Varma's email id?,Leadership,LuisQnA
what is process around reapplication in Company-ABC for external candidates?,Refferal,LuisQnA
where are rejected candidate records maintained?,Refferal,LuisQnA
What happens to the bonus if the candidate leaves within 6 months? ,Refferal,LuisQnA
My referral has resigned do I need to pay back RB?,Refferal,LuisQnA
Am I required to pay back RB in case my referral resigns?,Refferal,LuisQnA
within what timeframe if my referral resigns that I have to payback the referral bonus amount?,Refferal,LuisQnA
can referral resignation leads to returning RB?,Refferal,LuisQnA
What is the procedure to track my referral? ,Refferal,LuisQnA
What is status of my referral?,Refferal,LuisQnA
 I have not received any email regarding status of my referral?,Refferal,LuisQnA
where can I check my referral candidate status?,Refferal,LuisQnA
Referral status,Refferal,LuisQnA
When is the referral bonus paid?,Refferal,LuisQnA
when will I receive my RB?,Refferal,LuisQnA
is the referral bonus paid on the date of joining of the candidate?,Refferal,LuisQnA
will I get my RB after my referral completes 6 months in Company-ABC?,Refferal,LuisQnA
What do you need to do if status of the candidate is unavailable?. ,Refferal,LuisQnA
My referral details are not visible on portal,Refferal,LuisQnA
why am I getting candidate unavailable error?,Refferal,LuisQnA
is candidate unavailable a known error on  Referral portal?,Refferal,LuisQnA
what is the reason for candidate unavailable error?,Refferal,LuisQnA
Can I refer a friend he has done graduation via distance learning?,Refferal,LuisQnA
My referral is working in a reputed organization has 5 years experience but has done graduation part time. Will my referral will be considered?,Refferal,LuisQnA
Who can share input on how I can develop my career,CareerDevelopment,LuisQnA
who should I approach for skill development ,CareerDevelopment,LuisQnA
who should I connect with for career development ,CareerDevelopment,LuisQnA
what does the origination do for employee career development ,CareerDevelopment,LuisQnA
what are the steps I need to take for developing my career,CareerDevelopment,LuisQnA
what options are available in the organisaton for skill enhancement ,CareerDevelopment,LuisQnA
where can I find details around career development,CareerDevelopment,LuisQnA
where can I find details around building Skill expertise ,CareerDevelopment,LuisQnA
where in mylearning can I find Months at level details ,CareerDevelopment,LuisQnA
what is the path to find moths at level details ,CareerDevelopment,LuisQnA
whatz my MAL?,CareerDevelopment,LuisQnA
can you share my MAL details?,CareerDevelopment,LuisQnA
where can I accurately see my MAL data?,CareerDevelopment,LuisQnA
need to share my MAL data with my supervisor where can I see the data?,CareerDevelopment,LuisQnA
are you equipped to provide me my MAL data?,CareerDevelopment,LuisQnA
provide me my MAL info,CareerDevelopment,LuisQnA
My MAL details on the my learning portal is incorrect,CareerDevelopment,LuisQnA
MAL info wrong on tool,CareerDevelopment,LuisQnA
MAL details wrong,CareerDevelopment,LuisQnA
MAL details incorrect,CareerDevelopment,LuisQnA
who can correct my MAL data?,CareerDevelopment,LuisQnA
can I correct my MAL data?,CareerDevelopment,LuisQnA
Where do I raise the exit request?,Exit,LuisQnA
can you please help me with the steps that I need to follow to raise exit on AST?,Exit,LuisQnA
what steps I have to follow on AST to raise exit?,Exit,LuisQnA
do you know how to raise exit on AST?,Exit,LuisQnA
raise exit on AST,Exit,LuisQnA
I tired raising exit on AST can you guide me on entire process,Exit,LuisQnA
exit formalities,Exit,LuisQnA
no i am asking what is exit policy for Indian employees,Exit,LuisQnA
rules for exit,Exit,LuisQnA
what are the exit formalities,Exit,LuisQnA
What are the formalities has to be taken before resignation,Exit,LuisQnA
what is the exit checklist,Exit,LuisQnA
what is resignation process in India Company-ABC,Exit,LuisQnA
what is the entire process of exiting from Company-ABC,Exit,LuisQnA
what is the exit process in Company-ABC,Exit,LuisQnA
Is there any pocily on Notice period buyout?,Exit,LuisQnA
I donot want to serve my notice period. What options I have?,Exit,LuisQnA
I want Company-ABC management to waive-off my notice period shortfall amount.,Exit,LuisQnA
What is the process to get waiver on noticeperiod buyout amount?,Exit,LuisQnA
How can we utilize optional holidays?,Holiday,LuisQnA
Where will I get to know how can we utilize optional holidays?,Holiday,LuisQnA
What is the process of taking optional leave?,Holiday,LuisQnA
What is the process of taking floating leave?,Holiday,LuisQnA
Do we have to get our optional holiday approved before availing it?,Holiday,LuisQnA
is there a holiday 10 days from now,Holiday,LuisQnA
all holidays for next 10 days,Holiday,LuisQnA
what were the holidays last week,Holiday,LuisQnA
what were the holidays last fortnight,Holiday,LuisQnA
was last year 10th jun a holiday ,Holiday,LuisQnA
get holidays between 1-Nov and 30-Nov,Holiday,LuisQnA
Mandatory Holidays list,Holiday,LuisQnA
Mandatory Holidays,Holiday,LuisQnA
What are the Company-ABC approved holidays list for the year? ,Holiday,LuisQnA
What are mandatory holidays? ,Holiday,LuisQnA
How many mandatory holidays are there? ,Holiday,LuisQnA
Where we will find the list of Company-ABC holidays?,Holiday,LuisQnA
Where will I get to know about Company-ABC holidays?,Holiday,LuisQnA
How to find about Company-ABC holidays?,Holiday,LuisQnA
Where can I see optional holidays?,Holiday,LuisQnA
I want to know about list of floating holidays,Holiday,LuisQnA
Can you please tell me about optional holidays?,Holiday,LuisQnA
Can you please tell me about floating holidays?,Holiday,LuisQnA
Number of optional holidays? ,Holiday,LuisQnA
How do I search for open positions for GCP roles?,IJP,LuisQnA
please share GCP role list?,IJP,LuisQnA
can you show me list of relevant GCP roles for me?,IJP,LuisQnA
can you show me GCP roles for which I am eligible to apply?,IJP,LuisQnA
Open GCP role list,IJP,LuisQnA
Can you also display the GCP openings?,IJP,LuisQnA
Please show the top 5 relevant GCP openings for my skillset,IJP,LuisQnA
List of GCP openings,IJP,LuisQnA
is the rejection reason shared with employee people advisor?,IJP,LuisQnA
I want to improve for my next interview can I know the feedback from my last interview?,IJP,LuisQnA
is the feedback after interview shared with he employee?,IJP,LuisQnA
is any kind of feedback shared with an employee post interview,IJP,LuisQnA
will I receive any feedback from hiring manager after interview,IJP,LuisQnA
is IJP rejection reason shared with employees,IJP,LuisQnA
Is feedback post IJP interview shared with employees,IJP,LuisQnA
is rejection reason given under application status tab on tool?,IJP,LuisQnA
do we get mailers from IJP team capturing rejection reason?,IJP,LuisQnA
what happens after selection?,IJP,LuisQnA
What happens if my application is selected? ,IJP,LuisQnA
What if applicant get selected for a role and project release date is still not being finalized?,IJP,LuisQnA
What if applicant get selected for a role and project is not willing to release the applicant?,IJP,LuisQnA
where can I see my application status on IJP portal?,IJP,LuisQnA
How to apply for a leave on LMT?,Leave,LuisQnA
I want to know how to apply for a leave on LMT?,Leave,LuisQnA
I would like to know how to apply for a leave on LMT?,Leave,LuisQnA
Can you please tell me how to apply for a leave on LMT?,Leave,LuisQnA
Where will I get to know how to apply for a leave on LMT?,Leave,LuisQnA
